id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
bitcoin,btc,Bitcoin,101861.0,2020606193996,1,2020606193996,46292466443,103541.0,99220.0,2640.65,2.66139,50172213853.0,2.54625,19816309.0,19816309.0,21000000.0,108786.0,-6.11684,2025-01-20 09:11:54.494000+00:00,67.81,150516.12338,2013-07-06 00:00:00+00:00
ethereum,eth,Ethereum,3127.78,377548427314,2,377548427314,19501647617,3221.19,3063.34,62.8,2.04906,8111959939.0,2.19577,120512039.5899261,120512039.5899261,,4878.26,-35.57708,2021-11-10 14:24:19.604000+00:00,0.432979,725736.32497,2015-10-20 00:00:00+00:00
ripple,xrp,XRP,3.13,180519546947,3,313135912806,8558595661,3.21,2.9,0.225103,7.75738,13081855382.0,7.81297,57641211234.0,99986586496.0,100000000000.0,3.4,-7.78741,2018-01-07 00:00:00+00:00,0.00268621,116562.60534,2014-05-22 00:00:00+00:00
tether,usdt,Tether,0.999864,139439280645,4,139439280645,74780708265,1.0,0.99943,0.00037621,0.03764,174070123.0,0.12499,139457358263.1775,139457358263.1775,,1.32,-24.4278,2018-07-24 00:00:00+00:00,0.572521,74.64726,2015-03-02 00:00:00+00:00
solana,sol,Solana,230.54,112222703016,5,136714622563,5946537199,243.2,225.58,4.83,2.13864,2358627513.0,2.14686,486667155.0645453,592879289.3965856,,293.31,-21.14588,2025-01-19 11:15:27.957000+00:00,0.500801,46083.70572,2020-05-11 19:35:23.449000+00:00
binancecoin,bnb,BNB,666.07,97263447378,6,97263447378,788907335,684.6,659.67,6.4,0.96944,957433155.0,0.99416,145887575.79,145887575.79,200000000.0,788.84,-15.26331,2024-12-04 10:35:25.220000+00:00,0.0398177,1678650.88959,2017-10-19 00:00:00+00:00
usd-coin,usdc,USDC,1.0,52438209668,7,52438418791,9827167685,1.0,0.999898,1.979e-05,0.00198,-2147428.7957839966,-0.00409,52437115117.09186,52437324235.53102,,1.17,-14.72747,2019-05-08 00:40:28.300000+00:00,0.877647,13.94063,2023-03-11 08:02:13.981000+00:00
dogecoin,doge,Dogecoin,0.323117,47787091312,8,47791216881,1888868536,0.338693,0.320209,0.0029086,0.90834,452938835.0,0.9569,147800986383.7052,147813746383.7051,,0.731578,-55.73932,2021-05-08 05:08:23.458000+00:00,8.69e-05,372497.75689,2015-05-06 00:00:00+00:00
cardano,ada,Cardano,0.930371,33424925151,9,41913331292,776628463,0.966426,0.900532,0.02983818,3.31339,1069061443.0,3.30407,35886473001.82085,45000000000.0,45000000000.0,3.09,-69.77998,2021-09-02 06:00:10.474000+00:00,0.01925275,4745.36078,2020-03-13 02:22:55.044000+00:00
staked-ether,steth,Lido Staked Ether,3122.72,29730952816,10,29730952816,108463575,3216.56,3060.61,62.04,2.02685,515104065.0,1.7631,9509458.262305502,9509458.262305502,,4829.57,-34.9098,2021-11-10 14:40:47.256000+00:00,482.9,550.98397,2020-12-22 04:08:21.854000+00:00
